category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	2/63	268/8790	0.00746268656716418	1.04122245913291	0.0582288277654475	0.577065773933498	1	1	810/10381	2
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	1/63	119/8790	0.00840336134453781	1.17246898759504	0.160937562951761	0.577595067203738	1	1	4314	1
Organismal Systems	Nervous system	hsa04722	Neurotrophin signaling pathway	1/63	120/8790	0.00833333333333333	1.16269841269841	0.152465614750102	0.580664091626084	1	1	810	1
Organismal Systems	Immune system	hsa04660	T cell receptor signaling pathway	1/63	121/8790	0.00826446280991736	1.15308933490752	0.144065714985036	0.583711169160981	1	1	5522	1
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	1/63	122/8790	0.00819672131147541	1.14363778298205	0.135736509267318	0.586736454239175	1	1	5522	1
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	1/63	125/8790	0.008	1.11619047619048	0.111160060266772	0.595683083050031	1	1	5522	1
Organismal Systems	Immune system	hsa04650	Natural killer cell mediated cytotoxicity	1/63	125/8790	0.008	1.11619047619048	0.111160060266772	0.595683083050031	1	1	154064	1
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	1/63	134/8790	0.00746268656716418	1.04122245913291	0.0408540569919434	0.621394838810948	1	1	810	1
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	1/63	135/8790	0.00740740740740741	1.03350970017637	0.0333358404746596	0.624150398556202	1	1	8345	1
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	2/63	296/8790	0.00675675675675676	0.942728442728443	-0.085160114828396	0.63177592403361	1	1	26525/56300	2
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	1/63	138/8790	0.0072463768115942	1.01104209799862	0.0111081159391914	0.632299196844559	1	1	810	1
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	2/63	300/8790	0.00666666666666667	0.93015873015873	-0.104574652054288	0.639136897583298	1	1	1852/1943	2
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	1/63	141/8790	0.00709219858156028	0.989530563998649	-0.0106477393955734	0.640274065367853	1	1	810	1
Human Diseases	Cancer: specific types	hsa05224	Breast cancer	1/63	148/8790	0.00675675675675676	0.942728442728443	-0.0596994373254162	0.658226081480938	1	1	10683	1
