from	to	score
GNA11	CSF1R	0.000517
GNA11	FLT3	0.000523
GNA11	EGFR	0.000524
GNA11	ERBB2	0.000542
GNA11	CTNNB1	0.000556
GNA11	AKT1	0.000556
GNA11	FGFR1	0.000563
GNA11	POMC	0.000564
GNA11	PDGFRA	0.000592
GNA11	AGT	0.000594
GNA11	ERBB4	0.000594
GNA11	FGFR2	0.000596
GNA11	OPRM1	0.000599
GNA11	FGFR3	0.00061
GNA11	KALRN	0.000634
GNA11	PLA2G3	0.00065
GNA11	PLA2G4A	0.00065
GNA11	PLA2G5	0.000652
GNA11	PLA2G2C	0.000652
GNA11	PLA2G1B	0.000652
GNA11	PLA2G2D	0.000652
GNA11	PLA2G12A	0.000653
GNA11	PLA2G12B	0.000653
GNA11	PLA2G10	0.000654
GNA11	PLA2G2F	0.000654
GNA11	PLA2G2A	0.000655
GNA11	PLA2G6	0.000661
GNA11	PLA2G2E	0.000664
GNA11	CHRM2	0.000667
GNA11	KRAS	0.000674
GNA11	GNG11	7e-04
GNA11	GNA14	0.000703
GNA11	F2R	0.000706
GNA11	OXTR	0.000714
GNA11	GNG12	0.000719
GNA11	GNA15	0.000719
GNA11	GNG8	0.000733
GNA11	GNG4	0.000769
GNA11	GNG10	0.000773
GNA11	KIT	0.000806
GNA11	GNB3	0.000813
GNA11	GRK2	0.000825
GNA11	CHRM5	0.000902
GNA11	GRM5	0.000907
GNA11	CHRM3	0.000908
GNA11	ADRA2B	0.00091
GNA11	ADRA2A	0.000914
GNA11	ADRA2C	0.000914
GNA11	HTR2C	0.000915
GNA11	AVPR1A	0.000917
GNA11	HTR2A	0.00092
GNA11	CHRM1	0.00092
GNA11	HTR2B	0.000925
GNA11	ADRA1B	0.000927
GNA11	AGTR1	0.000942
GNA11	GHSR	0.000943
GNA11	PLCB2	0.000944
GNA11	PLCB3	0.000952
GNA11	ADRA1D	0.000961
GNA11	ADRA1A	0.000969
GNA11	EDNRB	0.000971
GNA11	GNAQ	0.000973
GNA11	PLCB1	0.000973
PYGM	AKT1	0.000401
PYGM	MYOT	0.000409
PYGM	BPGM	0.000425
PYGM	EGFR	0.000427
PYGM	PPARG	0.000428
PYGM	PGA3	0.000437
PYGM	GPD1	0.000437
PYGM	MYL3	0.000442
PYGM	MYL2	0.000451
PYGM	MYH7	0.000457
PYGM	TNNT2	0.000463
PYGM	RYR1	0.000465
PYGM	S100B	0.000468
PYGM	TTN	0.000473
PYGM	TNNT1	0.000478
PYGM	TNNC2	0.000485
PYGM	LIPE	0.000499
PYGM	SERPING1	5e-04
PYGM	GYPB	0.000507
PYGM	GOT2	0.000526
PYGM	PCK1	0.00055
PYGM	ACTN2	0.000625
PYGM	INS	0.00063
PYGM	MYL1	0.000638
PYGM	SLC2A4	0.000656
PYGM	G6PD	0.00068
PYGM	GAPDH	0.000696
PYGM	CHRM1	0.000763
PYGM	SCGB1A1	0.000765
PYGM	FTH1	0.000783
PYGM	ROM1	0.000786
PYGM	H6PD	0.00079
PYGM	PLCB3	0.000792
PYGM	CALML4	0.000857
PYGM	CALML6	0.00086
PYGM	PGM5	0.000862
PYGM	CALML5	0.000867
PYGM	CALML3	0.000867
PYGM	ENPP1	0.000911
PYGM	PGM1	0.000916
PYGM	PGM2	0.000966
VASH1	ANGPT1	0.000402
VASH1	ANGPTL7	0.000409
VASH1	ANGPT4	0.000432
VASH1	FGF13	0.000528
VASH1	FGF2	0.000581
VASH1	POMT2	0.000666
SPP2	RARRES2	0.000404
SPP2	SERPINF2	0.000414
SPP2	F13B	0.000419
SPP2	C6	0.000425
SPP2	SERPING1	0.00043
SPP2	HP	0.000437
SPP2	CEBPA	0.00044
SPP2	BMP7	0.000451
SPP2	BMP2	0.000454
SPP2	PLG	0.000455
SPP2	C8A	0.000475
SPP2	CPB2	0.000484
SPP2	ITIH3	0.000486
SPP2	SERPINA4	0.000512
SPP2	FGG	0.000522
SPP2	ALB	0.000527
SPP2	PROC	0.000588
SPP2	CLEC3B	0.000599
SPP2	HRG	0.00061
SPP2	APOH	0.000643
SPP2	SERPINC1	0.000656
SPP2	FGA	0.000682
FGF4	PLAU	0.000402
FGF4	LGR5	0.000404
FGF4	LRP5	0.00041
FGF4	SP7	0.000416
FGF4	PTHLH	0.000424
FGF4	WNT7A	0.000427
FGF4	LRP6	0.000427
FGF4	TIE1	0.000428
FGF4	AXIN1	0.00043
FGF4	VEGFB	0.000433
FGF4	NOS3	0.000434
FGF4	NKX2-5	0.000435
FGF4	WNT2B	0.000437
FGF4	ACKR1	0.000438
FGF4	GPC3	0.000438
FGF4	SERPINE1	0.00044
FGF4	VGF	0.000444
FGF4	PPARG	0.000445
FGF4	WNT2	0.000448
FGF4	ADORA2A	0.000452
FGF4	WNT4	0.000454
FGF4	PTCH1	0.000455
FGF4	ITGB1	0.000455
FGF4	WNT3	0.000455
FGF4	AXIN2	0.000457
FGF4	ENPP1	0.000458
FGF4	RSPO1	0.000462
FGF4	LEF1	0.000463
FGF4	CLU	0.000475
FGF4	ICAM1	0.000476
FGF4	SMO	0.000476
