category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Lipid metabolism	hsa00120	Primary bile acid biosynthesis	0/79	17/8790	0	0	-0.393006440019255	1	1	1		0
Metabolism	Metabolism of cofactors and vitamins	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	0/79	12/8790	0	0	-0.330097401627841	1	1	1		0
Metabolism	Energy metabolism	hsa00190	Oxidative phosphorylation	0/79	136/8790	0	0	-1.11920664438876	1	1	1		0
Metabolism	Nucleotide metabolism	hsa00240	Pyrimidine metabolism	0/79	59/8790	0	0	-0.73391080681942	1	1	1		0
Metabolism	Amino acid metabolism	hsa00250	Alanine, aspartate and glutamate metabolism	0/79	37/8790	0	0	-0.580459159724405	1	1	1		0
Metabolism	Amino acid metabolism	hsa00270	Cysteine and methionine metabolism	0/79	53/8790	0	0	-0.69535412920285	1	1	1		0
Metabolism	Amino acid metabolism	hsa00310	Lysine degradation	0/79	63/8790	0	0	-0.7585549692838	1	1	1		0
Metabolism	Amino acid metabolism	hsa00330	Arginine and proline metabolism	0/79	49/8790	0	0	-0.668446649686503	1	1	1		0
Metabolism	Amino acid metabolism	hsa00340	Histidine metabolism	0/79	22/8790	0	0	-0.447208800013453	1	1	1		0
Metabolism	Amino acid metabolism	hsa00360	Phenylalanine metabolism	0/79	16/8790	0	0	-0.381250522283774	1	1	1		0
Metabolism	Metabolism of other amino acids	hsa00410	beta-Alanine metabolism	0/79	31/8790	0	0	-0.531132473148405	1	1	1		0
Metabolism	Metabolism of other amino acids	hsa00430	Taurine and hypotaurine metabolism	0/79	16/8790	0	0	-0.381250522283774	1	1	1		0
Metabolism	Metabolism of other amino acids	hsa00450	Selenocompound metabolism	0/79	17/8790	0	0	-0.393006440019255	1	1	1		0
Metabolism	Metabolism of other amino acids	hsa00480	Glutathione metabolism	0/79	57/8790	0	0	-0.721281791580656	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00500	Starch and sucrose metabolism	0/79	36/8790	0	0	-0.572528684407132	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00510	N-Glycan biosynthesis	0/79	57/8790	0	0	-0.721281791580656	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00511	Other glycan degradation	0/79	18/8790	0	0	-0.404423340466431	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00512	Mucin type O-glycan biosynthesis	0/79	36/8790	0	0	-0.572528684407132	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00513	Various types of N-glycan biosynthesis	0/79	45/8790	0	0	-0.640435829861193	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00514	Other types of O-glycan biosynthesis	0/79	49/8790	0	0	-0.668446649686503	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00515	Mannose type O-glycan biosynthesis	0/79	23/8790	0	0	-0.457285768631498	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00531	Glycosaminoglycan degradation	0/79	19/8790	0	0	-0.415529169498029	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0/79	21/8790	0	0	-0.436901849665139	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	0/79	14/8790	0	0	-0.356586569266814	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0/79	24/8790	0	0	-0.467147639512969	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00541	Biosynthesis of various nucleotide sugars	0/79	19/8790	0	0	-0.415529169498029	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	0/79	78/8790	0	0	-0.844768359178723	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0/79	30/8790	0	0	-0.522465773512612	1	1	1		0
Metabolism	Lipid metabolism	hsa00600	Sphingolipid metabolism	0/79	55/8790	0	0	-0.708433616511299	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	0/79	28/8790	0	0	-0.504692280744699	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	0/79	16/8790	0	0	-0.381250522283774	1	1	1		0
Metabolism	Glycan biosynthesis and metabolism	hsa00604	Glycosphingolipid biosynthesis - ganglio series	0/79	15/8790	0	0	-0.369123196425885	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00630	Glyoxylate and dicarboxylate metabolism	0/79	31/8790	0	0	-0.531132473148405	1	1	1		0
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	0/79	32/8790	0	0	-0.539661939368295	1	1	1		0
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	0/79	38/8790	0	0	-0.588284512177098	1	1	1		0
Metabolism	Metabolism of cofactors and vitamins	hsa00760	Nicotinate and nicotinamide metabolism	0/79	38/8790	0	0	-0.588284512177098	1	1	1		0
Metabolism	Metabolism of cofactors and vitamins	hsa00770	Pantothenate and CoA biosynthesis	0/79	21/8790	0	0	-0.436901849665139	1	1	1		0
Metabolism	Metabolism of cofactors and vitamins	hsa00785	Lipoic acid metabolism	0/79	19/8790	0	0	-0.415529169498029	1	1	1		0
Metabolism	Energy metabolism	hsa00920	Sulfur metabolism	0/79	10/8790	0	0	-0.30130199902207	1	1	1		0
Genetic Information Processing	Translation	hsa00970	Aminoacyl-tRNA biosynthesis	0/79	44/8790	0	0	-0.633243692658415	1	1	1		0
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	0/79	79/8790	0	0	-0.850215092023861	1	1	1		0
Metabolism	Lipid metabolism	hsa01040	Biosynthesis of unsaturated fatty acids	0/79	27/8790	0	0	-0.495569702572655	1	1	1		0
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	0/79	116/8790	0	0	-1.03244887817303	1	1	1		0
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	0/79	33/8790	0	0	-0.548060580151977	1	1	1		0
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	0/79	57/8790	0	0	-0.721281791580656	1	1	1		0
Metabolism	Global and overview maps	hsa01232	Nucleotide metabolism	0/79	85/8790	0	0	-0.88221481408121	1	1	1		0
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	0/79	37/8790	0	0	-0.580459159724405	1	1	1		0
Human Diseases	Drug resistance: antineoplastic	hsa01521	EGFR tyrosine kinase inhibitor resistance	0/79	80/8790	0	0	-0.85562839166955	1	1	1		0
Human Diseases	Drug resistance: antineoplastic	hsa01524	Platinum drug resistance	0/79	74/8790	0	0	-0.822633744041898	1	1	1		0
Environmental Information Processing	Membrane transport	hsa02010	ABC transporters	0/79	45/8790	0	0	-0.640435829861193	1	1	1		0
Genetic Information Processing	Translation	hsa03008	Ribosome biogenesis in eukaryotes	0/79	143/8790	0	0	-1.1481128038416	1	1	1		0
Genetic Information Processing	Translation	hsa03010	Ribosome	0/79	191/8790	0	0	-1.33058302976702	1	1	1		0
Genetic Information Processing	Translation	hsa03013	Nucleocytoplasmic transport	0/79	108/8790	0	0	-0.995752161934032	1	1	1		0
Genetic Information Processing	Translation	hsa03015	mRNA surveillance pathway	0/79	103/8790	0	0	-0.972149310776563	1	1	1		0
Genetic Information Processing	Folding, sorting and degradation	hsa03018	RNA degradation	0/79	78/8790	0	0	-0.844768359178723	1	1	1		0
Genetic Information Processing	Transcription	hsa03020	RNA polymerase	0/79	34/8790	0	0	-0.556334321149386	1	1	1		0
Genetic Information Processing	Transcription	hsa03022	Basal transcription factors	0/79	43/8790	0	0	-0.625970599113872	1	1	1		0
